day index,deaths
1,0
2,800
3,3000
4,4300
5,5100
6,5750
7,7400
8,8500
9,10000
10,10500
11,11000
12,11500
13,12000
14,12050
15,12150
16,12250
17,12350
18,12450
19,13000
20,13650
21,13800
22,14000
23,14200
24,14400
25,14700
26,15000
27,15300
28,15600
29,15800
30,16100
31,16400
32,16600
33,17000
34,17200
35,17300
36,17500
37,17657
38,17855
39,18050
40,18241
41,18430
42,18617
43,18800
44,18982
45,19161
46,19337
47,19512
48,19684
49,19855
50,20023
51,20190
52,20355
53,20519
54,20680
55,20840
56,20999
57,21156
58,21312
59,21467
60,21620
